Timestamp,Prohibited Object,Eye Movement Detected,Key Pressed,Tab Change,Window Focus Changed,Suspicious Expression
2024-12-15 18:44:12,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 18:44:13,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:15,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:16,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:18,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:20,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:21,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:23,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:24,cell phone,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:25,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 18:44:27,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:50,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 20:08:51,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:53,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:55,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:56,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:58,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:08:58,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:09:00,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:12:37,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 20:12:38,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:12:40,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:14,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 20:13:20,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:21,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:22,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:23,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:29,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:30,Person Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:13:34,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:16:57,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 20:16:58,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:16:58,Person(s) Added,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:16:59,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:00,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:02,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:03,cell phone,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:03,Person(s) Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:15,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:15,Person(s) Added,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:17:16,Person(s) Disappeared,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:21,N/A,N/A,N/A,N/A,Changed to: GradeGuard - Monitoring,N/A
2024-12-15 20:22:23,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:24,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:25,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:31,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:36,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:37,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:40,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:40,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:41,Multiple Persons Detected,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:43,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:47,person,N/A,N/A,N/A,N/A,N/A
2024-12-15 20:22:49,person,N/A,N/A,N/A,N/A,N/A
